OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
26716,2033918,1,1,
26717,2033925,1,1,
26718,2033927,1,1,
26719,2033922,3,1,
26720,2033923,2,1,
26721,2033931,1,1,
26722,2033932,1,1,
26723,2033933,1,1,
26724,2033938,1,1,
26725,2033939,1,1,
26726,2033935,1,1,
26727,2033936,1,2,
26728,2033943,1,1,
26729,2033945,1,1,
26730,2033941,2,2,
26731,2033940,1,1,
26732,2033942,1,1,
26733,2033946,2,1,
26734,2033948,1,1,
26735,2033950,1,1,
26736,2033955,2,1,
26737,2033956,2,1,
26738,2033957,1,1,
26739,2033953,1,2,
26740,2033954,3,1,
26741,2033961,1,1,
26742,2033962,1,1,
26743,2033958,1,1,
26744,2033959,2,1,
26745,2033960,1,1,
26746,2033969,1,1,
26747,2033965,1,1,
26748,2033970,1,1,
26749,2033970,2,2,
26750,2033972,1,1,
26751,2033973,2,1,
26752,2033982,1,2,
26753,2033977,1,1,
26754,2033976,1,1,
26755,2033975,1,1,
26756,2033980,1,1,
26757,2033978,1,1,
26758,2033986,1,1,
26759,2033987,1,1,
26760,2033983,1,1,
26761,2033984,1,1,
26762,2033988,1,1,
26763,2033989,1,1,
26764,2033990,1,1,
26765,2033992,2,1,
26766,2033993,3,1,
26767,2033994,1,1,
26768,2033995,2,1,
26769,2033997,2,1,
26770,2033999,1,1,
26771,2034000,1,1,
26772,2034001,2,1,
26773,2034003,1,1,
26774,2034004,1,1,
26775,2034005,2,1,
26776,2034006,2,1,
26777,2034008,1,1,
26778,2034009,1,1,
26779,2034010,2,1,
26780,2034011,1,2,
26781,2034015,1,1,
26782,2034012,1,1,
26783,2034014,1,1,
26784,2034018,1,2,
26785,2034019,2,1,
26786,2034020,1,1,
26787,2034021,3,1,
26788,2034022,2,1,
26789,2034025,1,1,
26790,2034027,2,1,
26791,2034028,1,1,
26792,2034029,2,1,
26793,2034036,3,1,
26794,2034037,1,1,
26795,2034038,2,1,
26796,2034039,1,1,
26797,2034040,2,1,
26798,2034041,1,1,
26799,2034033,1,1,
26800,2034034,1,1,
26801,2034035,2,1,
26802,2034030,2,1,
26803,2034031,2,1,
26804,2034032,1,1,
26805,2034045,2,1,
26806,2034046,1,1,
26807,2034046,2,2,
26808,2034047,1,1,
26809,2034043,2,1,
26810,2034044,1,1,
26811,2034048,1,1,
26812,2034049,1,1,
26813,2034050,2,1,
26814,2034051,2,1,
26815,2034052,2,1,
26816,2034053,1,1,
26817,2034055,1,1,
26818,2034056,2,1,
26819,2034057,2,1,
26820,2034058,1,1,
26821,2034059,3,1,
26822,2034061,3,1,
26823,2034062,2,1,
26824,2034063,3,1,
26825,2034064,3,1,
26826,2034065,1,1,
26827,2034069,1,1,
26828,2034070,1,1,
26829,2034071,1,1,
26830,2034066,1,1,
26831,2034068,2,1,
26832,2034072,1,1,
26833,2034073,1,1,
26834,2034075,1,1,
26835,2034075,2,1,
26836,2034076,2,1,
26837,2034077,1,1,
26838,2034080,2,1,
26839,2034081,3,1,
26840,2034084,1,1,
26841,2034085,1,2,
26842,2034087,1,1,
26843,2034088,2,1,
26844,2034089,2,1,
26845,2033558,2,1,
26846,2033561,1,1,
26847,2033565,1,1,
26848,2033566,1,1,
26849,2033567,1,1,
26850,2033570,1,1,
26851,2033571,1,1,
26852,2033573,1,1,
26853,2033574,2,1,
26854,2033575,2,1,
26855,2033579,1,1,
26856,2033580,2,1,
26857,2033581,1,1,
26858,2033576,1,1,
26859,2033577,2,1,
26860,2033578,1,1,
26861,2033583,2,1,
26862,2033584,2,1,
26863,2033585,1,1,
26864,2033586,1,1,
26865,2033587,2,1,
26866,2033591,2,1,
26867,2033592,1,1,
26868,2033593,2,1,
26869,2033588,1,1,
26870,2033589,2,1,
26871,2033594,1,1,
26872,2033595,1,1,
26873,2033597,1,1,
26874,2033598,1,1,
26875,2033599,2,1,
26876,2033600,2,1,
26877,2033492,1,1,
26878,2033493,2,1,
26879,2033494,3,1,
26880,2033495,1,1,
26881,2033496,1,1,
26882,2033497,1,1,
26883,2033498,2,1,
26884,2033500,1,1,
26885,2033501,1,1,
26886,2033502,2,1,
26887,2033503,1,1,
26888,2033505,1,1,
26889,2033506,1,1,
26890,2033507,1,1,
26891,2033508,2,1,
26892,2033510,1,1,
26893,2033511,1,1,
26894,2033512,1,1,
26895,2033513,1,1,
26896,2033514,2,1,
26897,2033515,1,1,
26898,2033516,1,1,
26899,2033518,1,1,
26900,2033519,2,1,
26901,2033520,1,1,
26902,2033521,1,1,
26903,2033522,2,1,
26904,2033523,2,1,
26905,2033524,1,1,
26906,2033525,1,1,
26907,2033526,2,1,
26908,2033527,2,1,
26909,2033528,3,1,
26910,2033532,2,1,
26911,2033536,3,1,
26912,2033537,3,1,
26913,2033538,3,1,
26914,2033533,3,1,
