OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"37,349","2,033,864",1,5,
"37,350","2,033,865",1,4,
"37,351","2,033,866",1,2,
"37,352","2,033,867",1,5,
"37,353","2,033,868",1,5,
"37,354","2,033,869",1,6,
"37,355","2,033,870",1,7,
"37,356","2,033,871",1,7,
"37,357","2,033,872",1,7,
"37,358","2,033,873",1,7,
"37,359","2,033,874",1,7,
"37,360","2,033,875",1,7,
"37,361","2,033,879",1,2,
"37,362","2,033,880",1,2,
"37,363","2,033,881",1,2,
"37,364","2,033,876",1,2,
"37,365","2,033,877",1,2,
"37,366","2,033,878",1,2,
"37,367","2,033,882",1,2,
"37,368","2,033,883",1,2,
"37,369","2,033,884",1,2,
"37,370","2,033,885",1,5,
"37,371","2,033,886",1,7,
"37,372","2,033,887",1,8,
"37,373","2,033,888",1,6,
"37,374","2,033,889",1,6,
"37,375","2,033,890",1,6,
"37,376","2,033,891",1,6,
"37,377","2,033,892",1,6,
"37,378","2,033,893",1,6,
"37,379","2,033,894",1,6,
"37,380","2,033,895",1,7,
"37,381","2,033,898",1,8,
"37,382","2,033,899",1,2,
"37,383","2,033,900",1,4,
"37,384","2,033,901",1,4,
"37,385","2,033,902",1,5,
"37,386","2,033,903",1,2,
"37,387","2,033,904",1,2,
"37,388","2,033,905",1,6,
"37,389","2,033,906",1,4,
"37,390","2,033,907",1,7,
"37,391","2,033,908",1,4,
"37,392","2,033,909",1,4,
"37,393","2,033,910",1,4,
"37,394","2,033,911",1,7,
"37,395","2,033,912",1,2,
"37,396","2,033,913",1,4,
"37,397","2,033,914",1,2,
"37,398","2,033,915",1,4,
"37,399","2,033,919",1,13,
"37,400","2,033,920",1,9,
"37,401","2,033,921",1,8,
"37,402","2,033,916",1,5,
"37,403","2,033,917",1,2,
"37,404","2,033,918",1,2,
"37,405","2,033,925",1,2,
"37,406","2,033,926",1,2,
"37,407","2,033,927",1,4,
"37,408","2,033,922",1,3,
"37,409","2,033,923",1,7,
"37,410","2,033,924",1,7,
"37,411","2,033,931",1,7,
"37,412","2,033,932",1,3,
"37,413","2,033,933",1,8,
"37,414","2,033,928",1,5,
"37,415","2,033,929",1,7,
"37,416","2,033,930",1,3,
"37,417","2,033,937",1,5,
"37,418","2,033,938",1,5,
"37,419","2,033,939",1,2,
"37,420","2,033,934",2,3,
"37,421","2,033,935",2,3,
"37,422","2,033,936",1,3,
"37,423","2,033,943",1,4,
"37,424","2,033,944",1,8,
"37,425","2,033,945",1,13,
"37,426","2,033,941",1,9,
"37,427","2,033,940",1,2,
"37,428","2,033,942",1,4,
"37,429","2,033,946",1,9,
"37,430","2,033,947",1,8,
"37,431","2,033,948",1,6,
"37,432","2,033,949",1,8,
"37,433","2,033,950",1,6,
"37,434","2,033,951",1,4,
"37,435","2,033,955",1,4,
"37,436","2,033,956",1,4,
"37,437","2,033,957",1,3,
"37,438","2,033,952",1,4,
"37,439","2,033,953",1,4,
"37,440","2,033,954",1,4,
"37,441","2,033,961",1,8,
"37,442","2,033,962",1,8,
"37,443","2,033,963",1,8,
"37,444","2,033,958",1,3,
"37,445","2,033,959",1,3,
"37,446","2,033,960",1,3,
"37,447","2,033,967",1,8,
"37,448","2,033,968",1,9,
"37,449","2,033,969",1,5,
"37,450","2,033,964",1,5,
"37,451","2,033,965",1,8,
"37,452","2,033,966",1,8,
"37,453","2,033,970",1,3,
"37,454","2,033,971",1,3,
"37,455","2,033,972",1,2,
"37,456","2,033,973",1,3,
"37,457","2,033,982",1,2,
"37,458","2,033,981",1,2,
"37,459","2,033,977",1,3,
"37,460","2,033,976",1,3,
"37,461","2,033,975",1,2,
"37,462","2,033,980",1,2,
"37,463","2,033,979",1,1,
"37,464","2,033,978",1,2,
"37,465","2,033,985",1,2,
"37,466","2,033,986",1,1,
"37,467","2,033,987",1,3,
"37,468","2,033,974",1,2,
"37,469","2,033,983",1,3,
"37,470","2,033,984",1,2,
"37,471","2,033,988",1,3,
"37,472","2,033,989",1,3,
"37,473","2,033,990",1,5,
"37,474","2,033,991",1,9,
"37,475","2,033,992",1,8,
"37,476","2,033,993",1,9,
"37,477","2,033,994",1,7,
"37,478","2,033,995",1,9,
"37,479","2,033,996",1,4,
"37,480","2,033,997",1,4,
"37,481","2,033,998",1,2,
"37,482","2,033,999",1,4,
"37,483","2,034,000",1,4,
"37,484","2,034,000",2,2,
"37,485","2,034,001",1,4,
"37,486","2,034,002",1,4,
"37,487","2,034,003",1,6,
"37,488","2,034,004",1,4,
"37,489","2,034,005",1,3,
"37,490","2,034,006",1,3,
"37,491","2,034,007",1,2,
"37,492","2,034,008",1,5,
"37,493","2,034,009",1,3,
"37,494","2,034,010",1,3,
"37,495","2,034,011",1,5,
"37,496","2,034,015",1,5,
"37,497","2,034,016",1,5,
"37,498","2,034,017",1,2,
"37,499","2,034,012",1,5,
"37,500","2,034,013",1,2,
"37,501","2,034,014",1,2,
"37,502","2,034,018",1,2,
"37,503","2,034,019",1,2,
"37,504","2,034,020",1,2,
"37,505","2,034,021",1,4,
"37,506","2,034,022",1,5,
"37,507","2,034,023",1,4,
"37,508","2,034,024",1,4,
"37,509","2,034,025",1,8,
"37,510","2,034,026",1,3,
"37,511","2,034,027",1,3,
"37,512","2,034,028",1,2,
"37,513","2,034,029",1,2,
"37,514","2,034,036",1,3,
"37,515","2,034,037",1,4,
"37,516","2,034,038",1,4,
"37,517","2,034,039",1,4,
"37,518","2,034,040",1,2,
"37,519","2,034,041",1,1,
"37,520","2,034,041",4,2,
"37,521","2,034,033",1,6,
"37,522","2,034,034",1,2,
"37,523","2,034,035",4,3,
"37,524","2,034,030",1,2,
"37,525","2,034,031",1,4,
"37,526","2,034,032",1,4,
"37,527","2,034,045",1,3,
"37,528","2,034,046",1,9,
"37,529","2,034,047",1,9,
"37,530","2,034,042",1,3,
"37,531","2,034,043",4,2,
"37,532","2,034,044",1,2,
"37,533","2,034,048",1,9,
"37,534","2,034,049",1,9,
"37,535","2,034,050",1,9,
"37,536","2,034,051",1,9,
"37,537","2,034,052",1,9,
"37,538","2,034,053",1,2,
"37,539","2,034,054",1,9,
"37,540","2,034,055",1,4,
"37,541","2,034,056",1,4,
"37,542","2,034,057",1,6,
"37,543","2,034,058",1,4,
"37,544","2,034,059",1,4,
"37,545","2,034,060",1,3,
"37,546","2,034,061",1,3,
"37,547","2,034,062",1,3,
"37,548","2,034,063",1,3,
"37,549","2,034,064",1,3,
"37,550","2,034,065",1,9,
"37,551","2,034,069",1,9,
"37,552","2,034,070",1,9,
"37,553","2,034,071",1,9,
"37,554","2,034,066",1,9,
"37,555","2,034,067",1,9,
"37,556","2,034,068",1,9,
"37,557","2,034,072",1,9,
"37,558","2,034,073",1,9,
"37,559","2,034,074",1,7,
"37,560","2,034,075",1,4,
"37,561","2,034,076",1,2,
"37,562","2,034,077",1,9,
"37,563","2,034,078",1,7,
"37,564","2,034,079",1,7,
"37,565","2,034,080",1,6,
"37,566","2,034,081",1,3,
"37,567","2,034,082",4,2,
"37,568","2,034,083",1,4,
"37,569","2,034,084",1,2,
"37,570","2,034,085",1,4,
"37,571","2,034,086",1,8,
"37,572","2,034,088",1,6,
"37,573","2,034,089",1,4,
"37,574","2,033,558",1,7,
"37,575","2,033,559",1,4,
"37,576","2,033,560",1,5,
"37,577","2,033,561",1,7,
"37,578","2,033,562",1,5,
"37,579","2,033,563",1,7,
"37,580","2,033,564",1,2,
"37,581","2,033,565",1,3,
"37,582","2,033,566",1,3,
"37,583","2,033,567",1,3,
"37,584","2,033,568",1,4,
"37,585","2,033,569",1,4,
"37,586","2,033,570",1,2,
"37,587","2,033,571",1,2,
"37,588","2,033,572",1,4,
"37,589","2,033,573",1,4,
"37,590","2,033,574",1,4,
"37,591","2,033,575",1,5,
