OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"26,331","2,021,578",1,1,
"26,332","2,021,580",1,1,
"26,333","2,021,575",1,1,
"26,334","2,021,577",1,1,
"26,335","2,021,587",1,1,
"26,336","2,021,590",1,1,
"26,337","2,021,591",1,1,
"26,338","2,021,592",1,2,
"26,339","2,021,599",1,1,
"26,340","2,021,600",1,1,
"26,341","2,021,601",1,2,
"26,342","2,021,602",1,1,
"26,343","2,021,603",1,1,
"26,344","2,021,604",1,1,
"26,345","2,021,605",1,3,
"26,346","2,021,606",1,1,
"26,347","2,021,607",1,1,
"26,348","2,021,610",1,1,
"26,349","2,021,611",1,2,
"26,350","2,021,614",1,2,
"26,351","2,021,617",1,1,
"26,352","2,021,608",3,1,
"26,353","2,021,619",1,3,
"26,354","2,021,620",1,1,
"26,355","2,021,621",1,1,
"26,356","2,021,622",1,2,
"26,357","2,021,623",1,2,
"26,358","2,034,278",1,1,
"26,359","2,034,280",1,2,
"26,360","2,034,281",1,1,
"26,361","2,034,283",1,1,
"26,362","2,034,285",1,1,
"26,363","2,034,286",1,1,
"26,364","2,034,291",1,1,
"26,365","2,034,292",1,1,
"26,366","2,034,293",1,2,
"26,367","2,034,556",1,1,
"26,368","2,034,562",1,1,
"26,369","2,034,566",1,2,
"26,370","2,034,567",1,1,
"26,371","2,034,570",1,1,
"26,372","2,034,574",1,1,
"26,373","2,034,577",1,1,
"26,374","2,034,578",1,1,
"26,375","2,034,579",1,1,
"26,376","2,034,580",1,1,
"26,377","2,034,581",2,1,
"26,378","2,034,582",2,1,
"26,379","2,034,583",1,1,
"26,380","2,034,585",2,1,
"26,381","2,034,586",1,1,
"26,382","2,034,588",1,1,
"26,383","2,034,612",2,1,
"26,384","2,034,610",2,1,
"26,385","2,034,608",1,1,
"26,386","2,034,607",1,1,
"26,387","2,034,606",1,1,
"26,388","2,034,605",2,1,
"26,389","2,034,604",1,1,
"26,390","2,034,603",1,1,
"26,391","2,034,603",2,1,
"26,392","2,034,602",2,1,
"26,393","2,034,601",1,1,
"26,394","2,034,600",1,1,
"26,395","2,034,598",2,1,
"26,396","2,034,597",2,1,
"26,397","2,034,595",2,1,
"26,398","2,034,594",2,1,
"26,399","2,034,591",1,1,
"26,400","2,034,094",2,1,
"26,401","2,034,095",2,1,
"26,402","2,034,096",2,1,
"26,403","2,034,101",1,1,
"26,404","2,034,098",1,1,
"26,405","2,034,099",2,1,
"26,406","2,034,105",2,1,
"26,407","2,034,107",2,1,
"26,408","2,034,108",3,1,
"26,409","2,034,115",2,2,
"26,410","2,034,116",1,1,
"26,411","2,034,118",2,1,
"26,412","2,034,120",1,1,
"26,413","2,034,124",1,1,
"26,414","2,034,126",1,1,
"26,415","2,034,127",2,1,
"26,416","2,034,128",2,1,
"26,417","2,034,130",1,1,
"26,418","2,034,131",1,1,
"26,419","2,034,132",1,1,
"26,420","2,034,133",1,1,
"26,421","2,034,134",1,1,
"26,422","2,034,139",1,1,
"26,423","2,034,139",2,1,
"26,424","2,034,140",1,3,
"26,425","2,034,141",1,1,
"26,426","2,034,142",1,1,
"26,427","2,034,143",2,1,
"26,428","2,034,144",2,1,
"26,429","2,034,145",2,1,
"26,430","2,034,147",2,1,
"26,431","2,034,148",2,2,
"26,432","2,034,149",2,1,
"26,433","2,034,151",2,1,
"26,434","2,034,154",1,1,
"26,435","2,034,158",2,1,
"26,436","2,034,160",2,1,
"26,437","2,034,161",2,1,
"26,438","2,034,164",1,1,
"26,439","2,034,167",1,2,
"26,440","2,034,168",1,1,
"26,441","2,034,168",2,1,
"26,442","2,034,170",2,1,
"26,443","2,034,174",1,1,
"26,444","2,034,174",2,1,
"26,445","2,034,175",1,1,
"26,446","2,034,176",2,1,
"26,447","2,034,177",2,1,
"26,448","2,034,178",1,1,
"26,449","2,034,179",1,1,
"26,450","2,034,180",2,1,
"26,451","2,034,184",2,1,
"26,452","2,034,185",3,1,
"26,453","2,034,181",1,1,
"26,454","2,034,182",1,1,
"26,455","2,034,190",1,1,
"26,456","2,034,192",3,1,
"26,457","2,034,188",1,1,
"26,458","2,034,198",2,1,
"26,459","2,034,196",2,1,
"26,460","2,034,194",1,2,
"26,461","2,034,199",3,1,
"26,462","2,034,206",1,1,
"26,463","2,034,208",1,1,
"26,464","2,034,209",1,2,
"26,465","2,034,211",1,1,
"26,466","2,034,218",1,1,
"26,467","2,034,219",1,1,
"26,468","2,034,220",1,1,
"26,469","2,034,217",1,2,
"26,470","2,034,221",1,1,
"26,471","2,034,221",2,1,
"26,472","2,034,222",1,2,
"26,473","2,034,223",1,1,
"26,474","2,034,224",1,1,
"26,475","2,034,225",1,1,
"26,476","2,034,226",1,1,
"26,477","2,034,230",1,2,
"26,478","2,034,232",1,1,
"26,479","2,034,227",1,1,
"26,480","2,034,228",1,1,
"26,481","2,034,229",1,1,
"26,482","2,034,236",1,1,
"26,483","2,034,237",1,1,
"26,484","2,034,233",1,1,
"26,485","2,034,234",1,1,
"26,486","2,034,235",1,1,
"26,487","2,034,239",1,2,
"26,488","2,034,240",1,1,
"26,489","2,034,241",1,1,
"26,490","2,034,243",1,1,
"26,491","2,034,244",1,1,
"26,492","2,034,249",1,1,
"26,493","2,034,250",1,1,
"26,494","2,034,245",1,1,
"26,495","2,034,247",1,1,
"26,496","2,034,254",1,1,
"26,497","2,034,255",3,3,
"26,498","2,034,256",1,2,
"26,499","2,034,256",2,1,
"26,500","2,034,257",1,1,
"26,501","2,034,258",1,1,
"26,502","2,034,266",1,1,
"26,503","2,034,267",1,1,
"26,504","2,034,268",2,1,
"26,505","2,033,604",3,1,
